Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation,Active
delay_reason,death_notification_management,NOTES:,checkbox,Indicate reason for delaying eligibility screening,"CH01849, Logistical and/or CHAMPS staff availability issues | CH01850, Consenting party not available | CH01851, Site specific MITS exclusion criteria | CH01852, Complex family dynamics or emotional distress | CH01896, Local social/cultural concerns | CH00010, Other",check all that apply,,,,,[report_decision] = 'CH01425',y,LV,,,," @HIDECHOICE='CH01846,CH01847,CH01848'",1
report_not_elig,death_notification_management,NOTES:,checkbox,Indicate why not eligible for CHAMPS: ,"CH01846, Late notification (no longer eligible for MITS) | CH01847, Body already buried or cremated | CH01848, Family wishes to bury body before eligibility screening can be conducted | CH01420, Outside of catchment area | CH01421, Does not meet age requirement | CH01422, Death occurred prior to CHAMPS mortality surveillance initiation | CH01423, Other",(select all that apply),,,,,[report_decision] = 'CH00036',,LV,,,, @HIDECHOICE='CH01420',1
dnmf_exclindic,death_notification_management,NOTES:,text,Please indicate site specific MITS exclusion criteria,,,,,,,[delay_reason(CH01851)] = '1',,,,,,,1
report_explain_reason,death_notification_management,NOTES:,notes,Please explain,,,,,,,[report_decision] = 'CH01426' or [report_decision] = 'CH01425' or [delay_reason(CH01849)] = '1' or [delay_reason(CH01850)] = '1' or [delay_reason(CH01851)] = '1' or [delay_reason(CH01852)] = '1' or [delay_reason(CH00010)] = '1' or [delay_reason(CH01896)] = '1' or [report_not_elig(CH01423)] = '1',,LH,,,,,1
report_decision_dt,death_notification_management,NOTES:,text,Date form completed,,,date_dmy,,,,,y,,,,,[report_decision_dt] ; Version 0.0.0,1
elig_conduct,eligibility_screening_form,<block>Instructions for Completing: This form should be completed by a CHAMPS surveillance staff member upon meeting with a close family member who can confirm information about the deceased. </block> ,radio,Were you able to contact the family to conduct eligibility screening? ,"CH00001, Yes|CH00002, No",,,,,,[report_decision] <> '' and [report_decision_dt] <> '',y,RH,,,,[elig_conduct] ; Version 0.0.0,1
elig_not_able,eligibility_screening_form,<block>Instructions for Completing: This form should be completed by a CHAMPS surveillance staff member upon meeting with a close family member who can confirm information about the deceased. </block> ,notes,Explain the circumstances that led to the inability to conduct eligibility screening on this case. ,,,,,,,[elig_conduct] = 'CH00002',y,LV,,,,[elig_not_able] ; Version 0.0.0,1
elig_dt,eligibility_screening_form,<block>Instructions for Completing: This form should be completed by a CHAMPS surveillance staff member upon meeting with a close family member who can confirm information about the deceased. </block> ,text,Date of screening or screening attempt,,,date_dmy,,,,[report_decision] <> '' and [report_decision_dt] <> '',y,,,,,[elig_dt] ; Version 0.0.0,1
elig_time,eligibility_screening_form,<block>Instructions for Completing: This form should be completed by a CHAMPS surveillance staff member upon meeting with a close family member who can confirm information about the deceased. </block> ,text,Time of screening or screening attempt,,24 hour,time,,,,[report_decision] <> '' and [report_decision_dt] <> '',y,,,,,,1
elig_verbal_request,eligibility_screening_form,Verbal Consent,radio,Was verbal consent <u>requested</u> for eligibility screening?,"CH00001, Yes | CH00002, No | CH00004, Not applicable",,,,,,[elig_conduct]='CH00001',y,RH,,,,[elig_verbal_request] ; Version 0.0.0,1
