"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
not_done_ch00280_5,clinical_lab_results,,radio,"Reason not tested","CH00218, Sample not received or lost | CH00219, Sample mix-up or aliquotting or labeling error | CH00220, Sample not handled or processed correctly | CH00221, Wrong test ordered | CH00222, No or Incomplete test run (reagent or instrument or method problem) | CH00223, Invalid test run (QC failure) | CH00217, Sample quantity not sufficient | CH00224, Other reason",,,,,,"[result_ch00280_5] = 'CH00206'",,,,,,[reason_nottested]
reason_ch00280_5,clinical_lab_results,,notes,"Please explain",,,,,,,"[not_done_ch00280_5] = 'CH00224'",,,,,,"[comment] "
num_ch00280_5,clinical_lab_results,,text,"Result numeric",,,number,,,,"[result_ch00280_5] = 'CH00210' or [result_ch00280_5] = 'CH00180' or [result_ch00280_5] = 'CH00204' or [result_ch00280_5] = 'CH00216' or [result_ch00280_5] = 'CH00215'",,,,,,"[result_numeric] "
unit_ch00280_5,clinical_lab_results,,dropdown,"Unit of measure","CH00109, ml | CH00110, uL | CH00108, mg | CH00111, g | CH00112, in | CH00115, cubic centimeter | CH00113, cm | CH00106, ng/uL | CH00107, ng/mL | CH00105, ct | CH01877, Other",,,,,,"[result_ch00280_5] = 'CH00210' or [result_ch00280_5] = 'CH00180' or [result_ch00280_5] = 'CH00204' or [result_ch00280_5] = 'CH00216' or [result_ch00280_5] = 'CH00215'",,,,,,[result_unitofmeasure]
unit_ch00280_5_other,clinical_lab_results,,text,"Specify other unit of measure:",,,,,,,[unit_ch00280_5]='CH01877',,,,,,
ref_ch00280_5,clinical_lab_results,,text,"Result reference",,,,,,,"[result_ch00280_5] = 'CH00210' or [result_ch00280_5] = 'CH00180' or [result_ch00280_5] = 'CH00204' or [result_ch00280_5] = 'CH00216' or [result_ch00280_5] = 'CH00215'",,,,,,"[result_reference] "
t_dt_ch00280_5,clinical_lab_results,,text,"Date of test",,,date_dmy,,,,"[result_ch00280_5] = 'CH00210' or [result_ch00280_5] = 'CH00180' or [result_ch00280_5] = 'CH00204' or [result_ch00280_5] = 'CH00216' or [result_ch00280_5] = 'CH00215'",y,RH,,,,[testing_date]
r_dt_ch00280_5,clinical_lab_results,,text,"Date final result determined",,,date_dmy,,,,"[result_ch00280_5] = 'CH00210' or [result_ch00280_5] = 'CH00180' or [result_ch00280_5] = 'CH00204' or [result_ch00280_5] = 'CH00216' or [result_ch00280_5] = 'CH00215'",y,RH,,,,[result_date]
specimen_type_ch00280_5,clinical_lab_results,,dropdown,"Specimen type","CH00093, Blood | CH00083, Cerebrospinal fluid sample (CSF) | CH00089, Lung | CH00098, Nasopharyngeal and oropharyngeal swab | CH00081, Plasma | CH00095, Rectal swab | CH00096, Serum | CH00084, Stool | CH00094, Urine pellet | CH00100, Urine supernatant | CH00085, Urine | CH01263, Other specimen type",,,,,,"[result_ch00280_5] = 'CH00210' or [result_ch00280_5] = 'CH00180' or [result_ch00280_5] = 'CH00204' or [result_ch00280_5] = 'CH00216' or [result_ch00280_5] = 'CH00215'",y,,,,,[specimen_type]
spec_oth_type_ch00280_5,clinical_lab_results,,text,"Specify specimen type",,,,,,,[specimen_type_ch00280_5]='CH01263',y,,,,,[comment]
id_ch00280_5,clinical_lab_results,,text,"Specimen ID",,,,,,,"[result_ch00280_5] = 'CH00210' or [result_ch00280_5] = 'CH00180' or [result_ch00280_5] = 'CH00204' or [result_ch00280_5] = 'CH00216' or [result_ch00280_5] = 'CH00215'",y,,,,,[specimen_id]
